Year,recovered-in,originated-in,Number
2011,Arkansas,Delaware,0
2011,Arkansas,DC,0
2011,Arkansas,Florida,5
2011,Arkansas,Georgia,7
2011,Arkansas,Idaho,0
2011,Arkansas,Illinois,4
2011,Arkansas,Indiana,4
2011,Arkansas,Iowa,2
2011,Arkansas,Kansas,0
2011,Arkansas,Kentucky,3
2011,Arkansas,Louisiana,8
2011,Arkansas,Maine,0
2011,Arkansas,Maryland,0
2011,Arkansas,Massachusetts,0
2011,Arkansas,Michigan,5
2011,Arkansas,Minnesota,0
2011,Arkansas,Mississippi,8
2011,Arkansas,Missouri,7
2011,Arkansas,Montana,0
2011,Arkansas,Nebraska,0
2011,Arkansas,Nevada,0
2011,Arkansas,New Hampshire,0
2011,Arkansas,New Jersey,0
2011,Arkansas,New Mexico,0
2011,Arkansas,New York,0
2011,Arkansas,North Carolina,0
2011,Arkansas,North Dakota,0
2011,Arkansas,Ohio,0
2011,Arkansas,Oklahoma,16
2011,Arkansas,Oregon,0
2011,Arkansas,Pennsylvania,2
2011,Arkansas,Rhode Island,0
2011,Arkansas,South Carolina,0
2011,Arkansas,South Dakota,0
2011,Arkansas,Tennessee,12
2011,Arkansas,Texas,46
2011,Arkansas,Utah,0
2011,Arkansas,Vermont,0
2011,Arkansas,Virginia,2
2011,Arkansas,Washington,0
2011,Arkansas,West Virginia,0
2011,Arkansas,Wisconsin,2
2011,Arkansas,Wyoming,0
2011,Arkansas,Other,10
2011,California,Alabama,0
2011,California,Alaska,0
2011,California,Arizona,995
2011,California,Arkansas,0
2011,California,California,12481
2011,California,Colorado,129
2011,California,Connecticut,0
2011,California,Delaware,0
2011,California,DC,0
2011,California,Florida,146
2011,California,Georgia,137
2011,California,Idaho,125
2011,California,Illinois,0
2011,California,Indiana,0
2011,California,Iowa,0
2011,California,Kansas,0
2011,California,Kentucky,0
2011,California,Louisiana,101
2011,California,Maine,0
2011,California,Maryland,0
2011,California,Massachusetts,0
2011,California,Michigan,0
2011,California,Minnesota,0
2011,California,Mississippi,0
2011,California,Missouri,12
2011,California,Montana,0
2011,California,Nebraska,0
2011,California,Nevada,491
2011,California,New Hampshire,0
2011,California,New Jersey,0
2011,California,New Mexico,0
2011,California,New York,0
2011,California,North Carolina,0
2011,California,North Dakota,0
2011,California,Ohio,95
2011,California,Oklahoma,131
2011,California,Oregon,275
2011,California,Pennsylvania,0
2011,California,Rhode Island,0
2011,California,South Carolina,0
2011,California,South Dakota,0
2011,California,Tennessee,0
2011,California,Texas,357
2011,California,Utah,143
2011,California,Vermont,0
2011,California,Virginia,0
2011,California,Washington,267
2011,California,West Virginia,0
2011,California,Wisconsin,0
2011,California,Wyoming,0
2011,California,Other,1300
2011,Colorado,Alabama,0
2011,Colorado,Alaska,0
2011,Colorado,Arizona,27
2011,Colorado,Arkansas,0
2011,Colorado,California,62
2011,Colorado,Colorado,1014
2011,Colorado,Connecticut,0
2011,Colorado,Delaware,0
2011,Colorado,DC,0
2011,Colorado,Florida,26
2011,Colorado,Georgia,0
2011,Colorado,Idaho,0
2011,Colorado,Illinois,0
2011,Colorado,Indiana,0
2011,Colorado,Iowa,0
2011,Colorado,Kansas,19
2011,Colorado,Kentucky,0
2011,Colorado,Louisiana,13
2011,Colorado,Maine,0
2011,Colorado,Maryland,0
2011,Colorado,Massachusetts,0
2011,Colorado,Michigan,0
2011,Colorado,Minnesota,0
2011,Colorado,Mississippi,0
2011,Colorado,Missouri,12
2011,Colorado,Montana,0
2011,Colorado,Nebraska,14
2011,Colorado,Nevada,14
2011,Colorado,New Hampshire,0
2011,Colorado,New Jersey,0
2011,Colorado,New Mexico,40
2011,Colorado,New York,0
2011,Colorado,North Carolina,0
2011,Colorado,North Dakota,0
2011,Colorado,Ohio,0
2011,Colorado,Oklahoma,19
2011,Colorado,Oregon,0
2011,Colorado,Pennsylvania,0
2011,Colorado,Rhode Island,0
2011,Colorado,South Carolina,0
2011,Colorado,South Dakota,13
2011,Colorado,Tennessee,0
2011,Colorado,Texas,68
2011,Colorado,Utah,25
2011,Colorado,Vermont,0
2011,Colorado,Virginia,0
2011,Colorado,Washington,0
2011,Colorado,West Virginia,0
2011,Colorado,Wisconsin,0
2011,Colorado,Wyoming,27
2011,Colorado,Other,170
2011,Connecticut,Alabama,0
2011,Connecticut,Alaska,0
2011,Connecticut,Arizona,0
2011,Connecticut,Arkansas,0
2011,Connecticut,California,0
2011,Connecticut,Colorado,0
2011,Connecticut,Connecticut,544
2011,Connecticut,Delaware,0
2011,Connecticut,DC,0
2011,Connecticut,Florida,27
2011,Connecticut,Georgia,17
2011,Connecticut,Idaho,0
2011,Connecticut,Illinois,0
2011,Connecticut,Indiana,0
2011,Connecticut,Iowa,0
2011,Connecticut,Kansas,0
2011,Connecticut,Kentucky,0
2011,Connecticut,Louisiana,0
2011,Connecticut,Maine,17
2011,Connecticut,Maryland,0
2011,Connecticut,Massachusetts,15
2011,Connecticut,Michigan,0
2011,Connecticut,Minnesota,0
2011,Connecticut,Mississippi,0
2011,Connecticut,Missouri,0
2011,Connecticut,Montana,0
2011,Connecticut,Nebraska,0
2011,Connecticut,Nevada,0
2011,Connecticut,New Hampshire,16
2011,Connecticut,New Jersey,0
2011,Connecticut,New Mexico,0
2011,Connecticut,New York,16
2011,Connecticut,North Carolina,25
2011,Connecticut,North Dakota,0
2011,Connecticut,Ohio,10
2011,Connecticut,Oklahoma,0
2011,Connecticut,Oregon,8
2011,Connecticut,Pennsylvania,12
2011,Connecticut,Rhode Island,0
2011,Connecticut,South Carolina,11
2011,Connecticut,South Dakota,0
2011,Connecticut,Tennessee,0
2011,Connecticut,Texas,0
2011,Connecticut,Utah,13
2011,Connecticut,Vermont,16
2011,Connecticut,Virginia,13
2011,Connecticut,Washington,0
2011,Connecticut,West Virginia,0
2011,Connecticut,Wisconsin,0
2011,Connecticut,Wyoming,0
2011,Connecticut,Other,72
2011,Delaware,Alabama,3
2011,Delaware,Alaska,0
2011,Delaware,Arizona,0
2011,Delaware,Arkansas,0
2011,Delaware,California,4
2011,Delaware,Colorado,0
2011,Delaware,Connecticut,0
2011,Delaware,Delaware,387
2011,Delaware,DC,0
2011,Delaware,Florida,8
2011,Delaware,Georgia,11
2011,Delaware,Idaho,0
2011,Delaware,Illinois,0
2011,Delaware,Indiana,3
2011,Delaware,Iowa,0
2011,Delaware,Kansas,0
2011,Delaware,Kentucky,3
2011,Delaware,Louisiana,5
2011,Delaware,Maine,3
2011,Delaware,Maryland,52
2011,Delaware,Massachusetts,0
2011,Delaware,Michigan,0
2011,Delaware,Minnesota,0
2011,Delaware,Mississippi,0
2011,Delaware,Missouri,0
2011,Delaware,Montana,0
2011,Delaware,Nebraska,0
2011,Delaware,Nevada,0
2011,Delaware,New Hampshire,3
2011,Delaware,New Jersey,3
2011,Delaware,New Mexico,0
2011,Delaware,New York,10
2011,Delaware,North Carolina,12
2011,Delaware,North Dakota,0
2011,Delaware,Ohio,8
2011,Delaware,Oklahoma,0
2011,Delaware,Oregon,0
2011,Delaware,Pennsylvania,60
2011,Delaware,Rhode Island,0
2011,Delaware,South Carolina,5
2011,Delaware,South Dakota,0
2011,Delaware,Tennessee,0
2011,Delaware,Texas,8
2011,Delaware,Utah,0
2011,Delaware,Vermont,0
2011,Delaware,Virginia,19
2011,Delaware,Washington,0
2011,Delaware,West Virginia,7
2011,Delaware,Wisconsin,0
2011,Delaware,Wyoming,0
2011,Delaware,Other,19
2011,DC,Alabama,15
2011,DC,Alaska,0
2011,DC,Arizona,0
2011,DC,Arkansas,0
2011,DC,California,15
2011,DC,Colorado,0
2011,DC,Connecticut,0
2011,DC,Delaware,0
2011,DC,DC,20
2011,DC,Florida,21
2011,DC,Georgia,55
2011,DC,Idaho,0
2011,DC,Illinois,0
2011,DC,Indiana,0
2011,DC,Iowa,0
2011,DC,Kansas,0
2011,DC,Kentucky,0
2011,DC,Louisiana,0
2011,DC,Maine,0
2011,DC,Maryland,232
2011,DC,Massachusetts,0
2011,DC,Michigan,0
2011,DC,Minnesota,0
2011,DC,Mississippi,9
2011,DC,Missouri,0
2011,DC,Montana,0
2011,DC,Nebraska,0
2011,DC,Nevada,0
2011,DC,New Hampshire,0
2011,DC,New Jersey,0
2011,DC,New Mexico,0
2011,DC,New York,0
2011,DC,North Carolina,77
2011,DC,North Dakota,0
2011,DC,Ohio,19
2011,DC,Oklahoma,0
2011,DC,Oregon,0
2011,DC,Pennsylvania,28
2011,DC,Rhode Island,0
2011,DC,South Carolina,29
2011,DC,South Dakota,0
2011,DC,Tennessee,9
2011,DC,Texas,15
2011,DC,Utah,0
2011,DC,Vermont,0
2011,DC,Virginia,232
2011,DC,Washington,0
2011,DC,West Virginia,25
2011,DC,Wisconsin,0
2011,DC,Wyoming,0
2011,DC,Other,70
2011,Florida,Alabama,264
2011,Florida,Alaska,0
2011,Florida,Arizona,0
2011,Florida,Arkansas,0
2011,Florida,California,95
2011,Florida,Colorado,0
2011,Florida,Connecticut,0
2011,Florida,Delaware,0
2011,Florida,DC,0
2011,Florida,Florida,10603
2011,Florida,Georgia,443
2011,Florida,Idaho,0
2011,Florida,Illinois,0
2011,Florida,Indiana,86
2011,Florida,Iowa,0
2011,Florida,Kansas,0
2011,Florida,Kentucky,95
2011,Florida,Louisiana,0
2011,Florida,Maine,0
2011,Florida,Maryland,0
2011,Florida,Massachusetts,0
2011,Florida,Michigan,109
2011,Florida,Minnesota,0
2011,Florida,Mississippi,0
2011,Florida,Missouri,0
2011,Florida,Montana,0
2011,Florida,Nebraska,0
2011,Florida,Nevada,0
2011,Florida,New Hampshire,0
2011,Florida,New Jersey,0
2011,Florida,New Mexico,0
2011,Florida,New York,99
2011,Florida,North Carolina,127
2011,Florida,North Dakota,0
2011,Florida,Ohio,146
2011,Florida,Oklahoma,0
2011,Florida,Oregon,0
2011,Florida,Pennsylvania,103
2011,Florida,Rhode Island,0
2011,Florida,South Carolina,93
2011,Florida,South Dakota,0
2011,Florida,Tennessee,105
2011,Florida,Texas,179
2011,Florida,Utah,0
2011,Florida,Vermont,0
2011,Florida,Virginia,115
2011,Florida,Washington,0
2011,Florida,West Virginia,0
2011,Florida,Wisconsin,0
2011,Florida,Wyoming,0
2011,Florida,Other,850
2011,Georgia,Alabama,312
2011,Georgia,Alaska,0
2011,Georgia,Arizona,0
2011,Georgia,Arkansas,0
2011,Georgia,California,46
2011,Georgia,Colorado,0
2011,Georgia,Connecticut,0
2011,Georgia,Delaware,0
2011,Georgia,DC,0
2011,Georgia,Florida,281
2011,Georgia,Georgia,6390
2011,Georgia,Idaho,0
2011,Georgia,Illinois,0
2011,Georgia,Indiana,30
2011,Georgia,Iowa,0
2011,Georgia,Kansas,0
2011,Georgia,Kentucky,44
2011,Georgia,Louisiana,74
2011,Georgia,Maine,0
2011,Georgia,Maryland,0
2011,Georgia,Massachusetts,0
2011,Georgia,Michigan,0
2011,Georgia,Minnesota,0
2011,Georgia,Mississippi,65
2011,Georgia,Missouri,0
2011,Georgia,Montana,0
2011,Georgia,Nebraska,0
2011,Georgia,Nevada,0
2011,Georgia,New Hampshire,0
2011,Georgia,New Jersey,0
2011,Georgia,New Mexico,0
2011,Georgia,New York,0
2011,Georgia,North Carolina,113
2011,Georgia,North Dakota,0
2011,Georgia,Ohio,64
2011,Georgia,Oklahoma,0
2011,Georgia,Oregon,0
2011,Georgia,Pennsylvania,34
2011,Georgia,Rhode Island,0
2011,Georgia,South Carolina,221
2011,Georgia,South Dakota,0
2011,Georgia,Tennessee,114
2011,Georgia,Texas,99
2011,Georgia,Utah,0
2011,Georgia,Vermont,0
2011,Georgia,Virginia,88
2011,Georgia,Washington,0
2011,Georgia,West Virginia,0
2011,Georgia,Wisconsin,0
2011,Georgia,Wyoming,0
2011,Georgia,Other,295
2011,Idaho,Alabama,0
2011,Idaho,Alaska,7
2011,Idaho,Arizona,16
2011,Idaho,Arkansas,0
2011,Idaho,California,24
2011,Idaho,Colorado,10
2011,Idaho,Connecticut,0
2011,Idaho,Delaware,0
2011,Idaho,DC,0
2011,Idaho,Florida,0
2011,Idaho,Georgia,0
2011,Idaho,Idaho,299
2011,Idaho,Illinois,5
2011,Idaho,Indiana,0
2011,Idaho,Iowa,0
2011,Idaho,Kansas,0
2011,Idaho,Kentucky,0
2011,Idaho,Louisiana,0
2011,Idaho,Maine,0
2011,Idaho,Maryland,0
2011,Idaho,Massachusetts,0
2011,Idaho,Michigan,5
2011,Idaho,Minnesota,0
2011,Idaho,Mississippi,0
2011,Idaho,Missouri,0
2011,Idaho,Montana,12
2011,Idaho,Nebraska,0
2011,Idaho,Nevada,7
2011,Idaho,New Hampshire,0
2011,Idaho,New Jersey,0
2011,Idaho,New Mexico,5
2011,Idaho,New York,0
2011,Idaho,North Carolina,0
2011,Idaho,North Dakota,0
2011,Idaho,Ohio,0
2011,Idaho,Oklahoma,0
2011,Idaho,Oregon,26
2011,Idaho,Pennsylvania,0
2011,Idaho,Rhode Island,0
2011,Idaho,South Carolina,0
2011,Idaho,South Dakota,0
2011,Idaho,Tennessee,0
2011,Idaho,Texas,4
2011,Idaho,Utah,8
2011,Idaho,Vermont,0
2011,Idaho,Virginia,4
2011,Idaho,Washington,48
2011,Idaho,West Virginia,0
2011,Idaho,Wisconsin,0
2011,Idaho,Wyoming,7
2011,Idaho,Other,25
2011,Illinois,Alabama,99
2011,Illinois,Alaska,0
2011,Illinois,Arizona,0
2011,Illinois,Arkansas,88
2011,Illinois,California,0
2011,Illinois,Colorado,0
2011,Illinois,Connecticut,0
2011,Illinois,Delaware,0
2011,Illinois,DC,0
2011,Illinois,Florida,111
2011,Illinois,Georgia,100
2011,Illinois,Idaho,0
2011,Illinois,Illinois,3953
2011,Illinois,Indiana,1048
2011,Illinois,Iowa,87
2011,Illinois,Kansas,0
2011,Illinois,Kentucky,167
2011,Illinois,Louisiana,0
2011,Illinois,Maine,0
2011,Illinois,Maryland,0
2011,Illinois,Massachusetts,0
2011,Illinois,Michigan,98
2011,Illinois,Minnesota,0
2011,Illinois,Mississippi,338
2011,Illinois,Missouri,173
2011,Illinois,Montana,0
2011,Illinois,Nebraska,0
2011,Illinois,Nevada,0
2011,Illinois,New Hampshire,0
2011,Illinois,New Jersey,0
2011,Illinois,New Mexico,0
2011,Illinois,New York,0
2011,Illinois,North Carolina,0
2011,Illinois,North Dakota,0
2011,Illinois,Ohio,128
2011,Illinois,Oklahoma,0
2011,Illinois,Oregon,0
2011,Illinois,Pennsylvania,0
2011,Illinois,Rhode Island,0
2011,Illinois,South Carolina,0
2011,Illinois,South Dakota,0
2011,Illinois,Tennessee,136
2011,Illinois,Texas,136
2011,Illinois,Utah,0
2011,Illinois,Vermont,0
2011,Illinois,Virginia,0
2011,Illinois,Washington,0
2011,Illinois,West Virginia,0
2011,Illinois,Wisconsin,251
2011,Illinois,Wyoming,0
2011,Illinois,Other,598
2011,Indiana,Alabama,19
2011,Indiana,Alaska,0
2011,Indiana,Arizona,15
2011,Indiana,Arkansas,0
2011,Indiana,California,23
2011,Indiana,Colorado,0
2011,Indiana,Connecticut,0
2011,Indiana,Delaware,0
2011,Indiana,DC,0
2011,Indiana,Florida,37
2011,Indiana,Georgia,25
2011,Indiana,Idaho,0
2011,Indiana,Illinois,66
2011,Indiana,Indiana,3453
2011,Indiana,Iowa,0
2011,Indiana,Kansas,0
2011,Indiana,Kentucky,97
2011,Indiana,Louisiana,0
2011,Indiana,Maine,0
2011,Indiana,Maryland,0
2011,Indiana,Massachusetts,0
2011,Indiana,Michigan,40
2011,Indiana,Minnesota,0
2011,Indiana,Mississippi,24
2011,Indiana,Missouri,17
2011,Indiana,Montana,0
2011,Indiana,Nebraska,0
2011,Indiana,Nevada,0
2011,Indiana,New Hampshire,0
2011,Indiana,New Jersey,0
2011,Indiana,New Mexico,0
2011,Indiana,New York,0
2011,Indiana,North Carolina,0
2011,Indiana,North Dakota,0
2011,Indiana,Ohio,69
2011,Indiana,Oklahoma,0
2011,Indiana,Oregon,0
2011,Indiana,Pennsylvania,0
2011,Indiana,Rhode Island,0
2011,Indiana,South Carolina,15
2011,Indiana,South Dakota,0
2011,Indiana,Tennessee,17
2011,Indiana,Texas,26
2011,Indiana,Utah,0
2011,Indiana,Vermont,0
2011,Indiana,Virginia,0
2011,Indiana,Washington,0
2011,Indiana,West Virginia,0
2011,Indiana,Wisconsin,16
2011,Indiana,Wyoming,0
2011,Indiana,Other,135
2011,Iowa,Alabama,8
2011,Iowa,Alaska,0
2011,Iowa,Arizona,0
2011,Iowa,Arkansas,0
2011,Iowa,California,17
2011,Iowa,Colorado,7
2011,Iowa,Connecticut,0
2011,Iowa,Delaware,0
2011,Iowa,DC,0
2011,Iowa,Florida,10
2011,Iowa,Georgia,8
2011,Iowa,Idaho,0
2011,Iowa,Illinois,15
2011,Iowa,Indiana,7
2011,Iowa,Iowa,537
2011,Iowa,Kansas,9
2011,Iowa,Kentucky,0
2011,Iowa,Louisiana,9
2011,Iowa,Maine,0
2011,Iowa,Maryland,0
2011,Iowa,Massachusetts,0
2011,Iowa,Michigan,0
2011,Iowa,Minnesota,21
2011,Iowa,Mississippi,7
2011,Iowa,Missouri,17
2011,Iowa,Montana,0
2011,Iowa,Nebraska,28
2011,Iowa,Nevada,0
2011,Iowa,New Hampshire,0
2011,Iowa,New Jersey,0
2011,Iowa,New Mexico,0
2011,Iowa,New York,0
2011,Iowa,North Carolina,0
2011,Iowa,North Dakota,0
2011,Iowa,Ohio,0
2011,Iowa,Oklahoma,0
2011,Iowa,Oregon,0
2011,Iowa,Pennsylvania,0
2011,Iowa,Rhode Island,0
2011,Iowa,South Carolina,0
2011,Iowa,South Dakota,14
2011,Iowa,Tennessee,0
2011,Iowa,Texas,10
2011,Iowa,Utah,0
2011,Iowa,Vermont,0
2011,Iowa,Virginia,0
2011,Iowa,Washington,0
2011,Iowa,West Virginia,0
2011,Iowa,Wisconsin,0
2011,Iowa,Wyoming,0
2011,Iowa,Other,69
2011,Kansas,Alabama,0
2011,Kansas,Alaska,6
2011,Kansas,Arizona,14
2011,Kansas,Arkansas,18
2011,Kansas,California,15
2011,Kansas,Colorado,14
2011,Kansas,Connecticut,0
2011,Kansas,Delaware,0
2011,Kansas,DC,0
2011,Kansas,Florida,0
2011,Kansas,Georgia,9
2011,Kansas,Idaho,0
2011,Kansas,Illinois,9
2011,Kansas,Indiana,6
2011,Kansas,Iowa,6
2011,Kansas,Kansas,836
2011,Kansas,Kentucky,0
2011,Kansas,Louisiana,6
2011,Kansas,Maine,0
2011,Kansas,Maryland,0
2011,Kansas,Massachusetts,0
2011,Kansas,Michigan,9
2011,Kansas,Minnesota,0
2011,Kansas,Mississippi,8
2011,Kansas,Missouri,124
2011,Kansas,Montana,0
2011,Kansas,Nebraska,6
2011,Kansas,Nevada,0
2011,Kansas,New Hampshire,0
2011,Kansas,New Jersey,0
2011,Kansas,New Mexico,8
2011,Kansas,New York,0
2011,Kansas,North Carolina,0
2011,Kansas,North Dakota,0
2011,Kansas,Ohio,0
2011,Kansas,Oklahoma,28
2011,Kansas,Oregon,0
2011,Kansas,Pennsylvania,8
2011,Kansas,Rhode Island,0
2011,Kansas,South Carolina,0
2011,Kansas,South Dakota,0
2011,Kansas,Tennessee,6
2011,Kansas,Texas,28
2011,Kansas,Utah,0
2011,Kansas,Vermont,0
2011,Kansas,Virginia,0
2011,Kansas,Washington,0
2011,Kansas,West Virginia,0
2011,Kansas,Wisconsin,0
2011,Kansas,Wyoming,0
2011,Kansas,Other,59
2011,Kentucky,Alabama,10
2011,Kentucky,Alaska,0
2011,Kentucky,Arizona,0
2011,Kentucky,Arkansas,9
2011,Kentucky,California,7
2011,Kentucky,Colorado,0
2011,Kentucky,Connecticut,0
2011,Kentucky,Delaware,0
2011,Kentucky,DC,0
2011,Kentucky,Florida,25
2011,Kentucky,Georgia,29
2011,Kentucky,Idaho,0
2011,Kentucky,Illinois,10
2011,Kentucky,Indiana,122
2011,Kentucky,Iowa,0
2011,Kentucky,Kansas,0
2011,Kentucky,Kentucky,1336
2011,Kentucky,Louisiana,0
2011,Kentucky,Maine,0
2011,Kentucky,Maryland,0
2011,Kentucky,Massachusetts,0
2011,Kentucky,Michigan,14
2011,Kentucky,Minnesota,0
2011,Kentucky,Mississippi,0
2011,Kentucky,Missouri,0
2011,Kentucky,Montana,0
2011,Kentucky,Nebraska,0
2011,Kentucky,Nevada,0
2011,Kentucky,New Hampshire,0
2011,Kentucky,New Jersey,0
2011,Kentucky,New Mexico,0
2011,Kentucky,New York,7
2011,Kentucky,North Carolina,8
2011,Kentucky,North Dakota,0
2011,Kentucky,Ohio,72
2011,Kentucky,Oklahoma,0
2011,Kentucky,Oregon,0
2011,Kentucky,Pennsylvania,0
2011,Kentucky,Rhode Island,0
2011,Kentucky,South Carolina,0
2011,Kentucky,South Dakota,0
2011,Kentucky,Tennessee,46
2011,Kentucky,Texas,20
2011,Kentucky,Utah,0
2011,Kentucky,Vermont,0
2011,Kentucky,Virginia,15
2011,Kentucky,Washington,0
2011,Kentucky,West Virginia,12
2011,Kentucky,Wisconsin,0
2011,Kentucky,Wyoming,0
2011,Kentucky,Other,63
2011,Louisiana,Alabama,57
2011,Louisiana,Alaska,0
2011,Louisiana,Arizona,0
2011,Louisiana,Arkansas,32
2011,Louisiana,California,29
2011,Louisiana,Colorado,0
2011,Louisiana,Connecticut,0
2011,Louisiana,Delaware,0
2011,Louisiana,DC,0
2011,Louisiana,Florida,56
2011,Louisiana,Georgia,54
2011,Louisiana,Idaho,0
2011,Louisiana,Illinois,0
2011,Louisiana,Indiana,0
2011,Louisiana,Iowa,0
2011,Louisiana,Kansas,0
2011,Louisiana,Kentucky,13
2011,Louisiana,Louisiana,3992
2011,Louisiana,Maine,0
2011,Louisiana,Maryland,0
2011,Louisiana,Massachusetts,0
2011,Louisiana,Michigan,0
2011,Louisiana,Minnesota,0
2011,Louisiana,Mississippi,196
2011,Louisiana,Missouri,0
2011,Louisiana,Montana,0
2011,Louisiana,Nebraska,0
2011,Louisiana,Nevada,0
2011,Louisiana,New Hampshire,0
2011,Louisiana,New Jersey,0
2011,Louisiana,New Mexico,0
2011,Louisiana,New York,0
2011,Louisiana,North Carolina,19
2011,Louisiana,North Dakota,0
2011,Louisiana,Ohio,20
2011,Louisiana,Oklahoma,13
2011,Louisiana,Oregon,0
2011,Louisiana,Pennsylvania,0
2011,Louisiana,Rhode Island,0
2011,Louisiana,South Carolina,13
2011,Louisiana,South Dakota,0
2011,Louisiana,Tennessee,27
2011,Louisiana,Texas,213
2011,Louisiana,Utah,0
2011,Louisiana,Vermont,0
2011,Louisiana,Virginia,26
2011,Louisiana,Washington,0
2011,Louisiana,West Virginia,0
2011,Louisiana,Wisconsin,0
2011,Louisiana,Wyoming,0
2011,Louisiana,Other,167
2011,Maine,Alabama,1
2011,Maine,Alaska,0
2011,Maine,Arizona,0
2011,Maine,Arkansas,0
2011,Maine,California,1
2011,Maine,Colorado,1
2011,Maine,Connecticut,2
2011,Maine,Delaware,0
2011,Maine,DC,0
2011,Maine,Florida,4
2011,Maine,Georgia,2
2011,Maine,Idaho,0
2011,Maine,Illinois,0
2011,Maine,Indiana,1
