Year,State,Homicides/100K,Total Traced,Locally Sourced,% Local,Sourced Per Capita,Dest per Capita,Ratio,Percentile
2009,ME,2,246,188,76.40%,23.21,18.66,0.804,32%
2009,MI,6.2,3338,2165,64.90%,24.69,33.48,1.356,34%
2009,MN,1.4,1288,896,69.60%,18.95,24.46,1.291,20%
2009,MO,6.5,2754,1816,65.90%,34.76,46,1.323,50%
2009,MS,6.6,1175,889,75.70%,75.64,39.8,0.526,90%
2009,MT,3.3,272,175,64.30%,26.87,27.9,1.038,40%
2009,NB,2.3,731,505,69.10%,31.11,40.69,1.308,44%
2009,NC,5.2,7505,5402,72.00%,74.29,80,1.077,84%
2009,ND,1.9,118,66,55.90%,13.76,18.24,1.326,10%
2009,NH,0.8,226,146,64.60%,22.04,17.06,0.774,26%
2009,NJ,3.7,2394,602,25.10%,7.57,27.49,3.633,6%
2009,NM,9.9,838,601,71.70%,44.48,41.7,0.937,60%
2009,NV,5.9,2123,1342,63.20%,75.03,80.32,1.071,88%
2009,NY,4,5426,1819,33.50%,10.43,27.77,2.661,8%
2009,OH,4.6,6814,5423,79.60%,62.16,59.03,0.95,76%
2009,OK,6.3,1348,997,74.00%,38.78,36.56,0.943,56%
2009,OR,2.3,1882,1357,72.10%,48.8,49.19,1.008,70%
2009,PA,5.3,5396,4254,78.80%,46.21,42.81,0.926,64%
2009,RI,3,243,139,57.20%,15.95,23.07,1.446,14%
2009,SC,6.7,1827,1322,72.40%,58.3,40.05,0.687,74%
2009,SD,3.7,114,75,65.80%,15.51,14.03,0.905,12%
2009,TN,7.4,2886,1823,63.20%,45.03,45.84,1.018,62%
2009,TX,5.4,10070,8216,81.60%,41.67,40.63,0.975,58%
2009,UT,1.4,395,271,68.60%,17.67,14.19,0.803,18%
2009,VA,4.7,4925,3941,80.00%,79.58,62.48,0.785,92%
2009,VT,1.3,140,90,64.30%,22.84,22.52,0.986,30%
2009,WA,2.9,2258,1570,69.50%,31.17,33.88,1.087,46%
2009,WI,2.6,2143,1629,76.00%,35.17,37.9,1.077,52%
2009,WV,4.6,710,486,68.50%,64.62,39.02,0.604,78%
2009,WY,2,125,82,65.60%,21.68,22.97,1.059,24%
2010,AK,4.4,451,359,79.60%,55.33,63.5,1.148,72%
2010,AL,5.7,2155,1710,79.40%,64.9,45.09,0.695,82%
2010,AR,4.7,460,315,68.50%,25.76,15.78,0.613,32%
2010,AZ,6.4,5477,4426,80.80%,91.82,86.54,0.943,98%
2010,CA,4.9,16047,11710,73.00%,35.34,43.07,1.219,52%
2010,CO,2.4,1044,682,65.30%,21.65,20.76,0.959,22%
2010,CT,3.6,748,479,64.00%,15.86,20.93,1.319,12%
2010,DC,21.8,980,101,10.30%,31.91,162.87,5.104,46%
2010,DE,5.7,595,367,61.70%,51.34,66.26,1.291,68%
2010,FL,5.2,12430,9764,78.60%,63.98,66.11,1.033,78%
2010,GA,5.8,7901,6070,76.80%,89.36,81.56,0.913,96%
2010,HI,1.8,20,5,25.00%,0.37,1.47,4.001,0%
2010,IA,1.3,687,463,67.40%,19.93,22.55,1.132,18%
2010,ID,1.3,425,257,60.50%,31.7,27.11,0.855,44%
2010,IL,5.5,7273,3695,50.80%,33.44,56.68,1.695,50%
2010,IN,4.5,3957,3349,84.60%,76.75,61.03,0.795,90%
2010,KS,3.5,867,565,65.20%,29.97,30.39,1.014,38%
2010,KY,4.3,2340,1608,68.70%,64.87,53.92,0.831,80%
2010,LA,11.2,5163,4151,80.40%,107.49,113.89,1.06,100%
2010,MA,3.2,1212,438,36.10%,7.68,18.51,2.41,4%
2010,MD,7.4,4314,2634,61.10%,54.61,74.72,1.368,70%
2010,ME,1.8,351,261,74.40%,30.11,26.42,0.878,40%
2010,MI,5.7,3811,2603,68.30%,29.67,38.56,1.3,36%
2010,MN,1.8,1449,1031,71.20%,21.47,27.32,1.272,20%
2010,MO,7,3188,2162,67.80%,41.71,53.23,1.276,60%
2010,MS,7,1524,1169,76.70%,79.1,51.36,0.649,94%
2010,MT,2.6,261,151,57.90%,22.94,26.38,1.15,28%
2010,NB,3,649,432,66.60%,26.72,35.54,1.33,34%
2010,NC,5,7290,5276,72.40%,72.49,76.45,1.055,86%
2010,ND,1.5,137,78,56.90%,16.95,20.37,1.202,14%
2010,NH,1,174,127,73.00%,23.47,13.22,0.563,30%
2010,NJ,4.2,1980,405,20.50%,5.72,22.52,3.936,2%
2010,NM,6.9,683,496,72.60%,37.34,33.17,0.888,56%
2010,NV,5.9,1889,1225,64.80%,68.95,69.95,1.015,84%
2010,NY,4.5,4691,1459,31.10%,8.88,24.21,2.727,6%
2010,OH,4.1,6646,5338,80.30%,61.61,57.61,0.935,76%
2010,OK,5.2,1262,964,76.40%,37.19,33.64,0.905,54%
2010,OR,2.4,1956,1452,74.20%,50.74,51.06,1.006,66%
2010,PA,5.2,5631,4436,78.80%,46.85,44.33,0.946,62%
2010,RI,2.8,182,99,54.40%,9.6,17.29,1.802,8%
2010,SC,6.1,2047,1493,72.90%,60.6,44.26,0.73,74%
2010,SD,2.8,128,73,57.00%,14.37,15.72,1.094,10%
2010,TN,5.6,3469,2206,63.60%,49.13,54.66,1.113,64%
2010,TX,5,10111,8163,80.70%,41.68,40.21,0.965,58%
2010,UT,1.9,527,366,69.40%,22.32,19.07,0.854,26%
2010,VA,4.6,5274,4128,78.30%,78.09,65.92,0.844,92%
2010,VT,1.1,129,67,51.90%,18.54,20.62,1.112,16%
2010,WA,2.3,2273,1625,71.50%,31.65,33.8,1.068,42%
2010,WI,2.7,1940,1522,78.50%,32.6,34.11,1.046,48%
2010,WV,3.3,748,528,70.60%,74.31,40.37,0.543,88%
2010,WY,1.4,157,82,52.20%,22,27.86,1.266,24%
2011,AK,4.1,441,338,76.60%,55.76,61.02,1.094,70%
2011,AL,6.2,2407,1894,78.70%,68.96,50.12,0.727,88%
2011,AR,5.4,460,310,67.40%,25.32,15.66,0.618,32%
2011,AZ,6.1,5781,4571,79.10%,94.07,89.18,0.948,98%
2011,CA,4.8,17185,12481,72.60%,37.45,45.59,1.218,54%
2011,CO,3,1563,1014,64.90%,27.85,30.55,1.097,36%
2011,CT,3.6,832,544,65.40%,17.68,23.24,1.314,16%
2011,DC,17.4,871,20,2.30%,3.24,140.94,43.551,2%
2011,DE,5.3,633,387,61.10%,58.43,69.78,1.194,74%
2011,FL,5.2,13512,10603,78.50%,68.04,70.9,1.042,84%
2011,GA,5.6,8270,6390,77.30%,92.64,84.26,0.909,96%
2011,HI,1.5,70,20,28.60%,1.45,5.09,3.5,0%
2011,IA,1.4,793,537,67.70%,23.32,25.9,1.111,24%
2011,ID,2.2,512,299,58.40%,34.51,32.3,0.936,48%
2011,IL,6.1,7511,3953,52.60%,34.27,58.36,1.703,46%
2011,IN,4.7,4094,3453,84.30%,78.96,62.82,0.796,94%
2011,KS,3.9,1223,836,68.40%,37.16,42.59,1.146,52%
2011,KY,3.5,1805,1336,74.00%,56.94,41.31,0.725,72%
2011,LA,11.1,4927,3992,81.00%,101.42,107.7,1.062,100%
2011,MA,2.8,1020,351,34.40%,6.27,15.48,2.47,6%
2011,MD,6.8,4693,2718,57.90%,54.05,80.52,1.49,68%
2011,ME,2,255,194,76.10%,24.77,19.2,0.775,30%
2011,MI,6.2,3046,2070,68.00%,25.97,30.84,1.188,34%
2011,MN,1.4,1349,995,73.80%,20.08,25.24,1.257,18%
2011,MO,6.1,2957,2094,70.80%,41.74,49.2,1.179,56%
2011,MS,7.8,1457,1062,72.90%,68.09,48.92,0.718,86%
2011,MT,2.9,337,230,68.20%,30.66,33.76,1.101,40%
2011,NB,3.7,763,494,64.70%,30.39,41.41,1.363,38%
2011,NC,5.2,7653,5470,71.50%,73.35,79.25,1.08,92%
2011,ND,3.5,131,80,61.10%,14.91,19.15,1.284,14%
2011,NH,1.2,132,83,62.90%,20.94,10.01,0.478,20%
2011,NJ,4.3,2063,432,20.90%,5.52,23.39,4.236,4%
2011,NM,7.6,714,528,73.90%,34.67,34.29,0.989,50%
2011,NV,5.1,1517,1001,66.00%,60.59,55.7,0.919,78%
2011,NY,3.9,4973,1595,32.10%,9.77,25.55,2.615,8%
2011,OH,4.3,6575,5225,79.50%,60.22,56.95,0.946,76%
2011,OK,5.6,1466,1117,76.20%,42.81,38.67,0.903,62%
2011,OR,2.2,2134,1514,70.90%,52.33,55.12,1.053,64%
2011,PA,5,6364,5087,79.90%,52.47,49.94,0.952,66%
2011,RI,1.9,229,117,51.10%,11.13,21.78,1.957,10%
2011,SC,6.8,2296,1671,72.80%,67.62,49.07,0.726,82%
2011,SD,2.4,91,62,68.10%,13.95,11.04,0.791,12%
2011,TN,5.9,2647,1733,65.50%,42.57,41.34,0.971,60%
2011,TX,4.4,10437,8542,81.80%,42.43,40.65,0.958,58%
2011,UT,1.8,580,416,71.70%,23.85,20.59,0.863,28%
2011,VA,1.8,4505,3521,78.20%,70.6,55.64,0.788,90%
2011,VT,3.8,221,123,55.70%,22.83,35.28,1.545,22%
2011,WA,2.4,2270,1617,71.20%,32.06,33.24,1.037,42%
2011,WI,2.4,2068,1591,76.90%,33.98,36.21,1.065,44%
2011,WV,4.7,696,449,64.50%,63.17,37.51,0.594,80%
2011,WY,3.2,107,57,53.30%,23.41,18.83,0.805,26%
2012,AK,4.1,582,458,78.70%,67.95,79.57,1.171,78%
2012,AL,7.1,2746,2166,78.90%,71.32,56.95,0.798,82%
2012,AR,5.9,538,400,74.30%,27.97,18.24,0.652,28%
2012,AZ,5.5,5762,4660,80.90%,95.81,87.93,0.918,98%
2012,CA,5,18280,13106,71.70%,38.63,48.05,1.244,48%
2012,CO,3.1,1573,1076,68.40%,29.45,30.32,1.029,32%
2012,CT,4.1,624,349,55.90%,9.94,17.38,1.748,10%
2012,DC,13.9,891,26,2.90%,4.11,140.91,34.269,2%
2012,DE,6.2,605,351,58.00%,54.3,65.97,1.215,66%
2012,FL,5.2,13694,10784,78.70%,68.5,70.89,1.035,80%
2012,GA,5.9,8281,6480,78.30%,93.62,83.48,0.892,96%
2012,HI,2.1,105,55,52.40%,3.95,7.54,1.909,0%
2012,IA,1.5,956,678,70.90%,28.24,31.1,1.101,30%
2012,ID,1.8,595,400,67.20%,44.43,37.29,0.839,56%
2012,IL,5.8,7349,3691,50.20%,32.2,57.08,1.773,36%
2012,IN,4.7,4079,3383,82.90%,79.65,62.4,0.783,92%
2012,KS,2.9,1825,1287,70.50%,53.92,63.24,1.173,64%
2012,KY,4.5,2249,1709,76.00%,63.85,51.34,0.804,76%
2012,LA,10.8,4929,3963,80.40%,102.33,107.11,1.047,100%
2012,MA,1.8,999,453,45.30%,7.69,15.03,1.955,6%
2012,MD,6.3,4930,2947,59.80%,57.57,83.78,1.455,70%
2012,ME,1.9,384,320,83.30%,32.5,28.89,0.889,38%
2012,MI,7,2821,1892,67.10%,23.26,28.54,1.227,22%
2012,MN,1.8,1646,1128,68.50%,22.96,30.6,1.333,20%
2012,MO,6.5,2912,2092,71.80%,42.03,48.36,1.151,54%
2012,MS,7.4,1938,1516,78.20%,88.38,64.93,0.735,94%
2012,MT,2.7,363,261,71.90%,34.12,36.11,1.058,42%
2012,NB,2.9,927,628,67.70%,39.29,49.96,1.272,50%
2012,NC,4.9,8142,5906,72.50%,78.55,83.49,1.063,90%
2012,ND,4,166,99,59.60%,18.58,23.73,1.277,14%
2012,NH,1.1,203,120,59.10%,22.49,15.37,0.684,18%
2012,NJ,4.4,2112,425,20.10%,5.43,23.83,4.391,4%
2012,NM,5.6,986,697,70.70%,47.71,47.28,0.991,58%
2012,NV,4.5,2177,1408,64.70%,76.3,78.91,1.034,84%
2012,NY,3.5,4850,1552,32.00%,9.78,24.78,2.534,8%
2012,OH,4.3,6700,5375,80.20%,60.68,58.04,0.956,72%
2012,OK,5.7,1071,793,74.00%,33.47,28.07,0.839,40%
2012,OR,2.4,2041,1477,72.40%,53.6,52.34,0.977,62%
2012,PA,5.4,6293,4987,79.20%,51.28,49.3,0.961,60%
2012,RI,3.2,222,126,56.80%,13.33,21.14,1.586,12%
2012,SC,6.9,2878,2102,73.00%,76.61,60.93,0.795,86%
2012,SD,3,143,109,76.20%,18.72,17.16,0.917,16%
2012,TN,6,3920,2570,65.60%,56.94,60.72,1.066,68%
2012,TX,4.4,9522,7809,82.00%,39.61,36.54,0.923,52%
2012,UT,1.8,777,567,73.00%,30.4,27.21,0.895,34%
2012,VA,1.3,5072,4070,80.20%,77.88,61.96,0.796,88%
2012,VT,3.8,179,125,69.80%,25.56,28.59,1.119,24%
2012,WA,3,2555,1840,72.00%,34.97,37.05,1.059,44%
2012,WI,3,2167,1734,80.00%,36.08,37.84,1.049,46%
2012,WV,3.9,695,472,67.90%,61.66,37.46,0.608,74%
2012,WY,2.4,172,102,59.30%,26.37,29.84,1.132,26%
